yrs,solar,otherAnth,ozone,otherGHG,ch4,co2,volcanic,land_use,aerosol-radiation_interactions,aerosol-cloud_interactions
1971,0,0,0,0,0,0,0,0,0,0
1972,0.977141036,1.409694934,3.809364443,2.865673148,4.769143355,10.80623949,-0.15178966,-1.991642615,-5.985442816,-13.45003982
1973,1.491287425,2.868364302,7.700354197,5.944552573,9.633141987,22.30612004,1.796045593,-3.993584992,-12.18332404,-26.89798329
1974,1.778204879,4.323394062,11.67296926,9.257614361,14.58944423,34.0327279,1.622014741,-6.005827131,-18.25233306,-40.23537308
1975,2.070143967,5.821128716,15.72720964,12.80926131,19.65357239,45.77599381,-2.532254006,-8.028369032,-24.16777067,-53.30190612
1976,2.287260709,7.354341921,19.86307532,16.59589738,24.83698504,57.71062316,-2.501393673,-10.0612107,-30.38491045,-67.13890588
1977,2.988965125,8.956136509,24.08056631,20.61722164,30.14702309,70.12932941,-1.108187551,-12.10435212,-36.58771413,-81.09885547
1978,4.432867034,10.61540518,28.37968262,24.87204232,35.58707872,82.98940714,0.687163125,-14.15779331,-42.71171483,-95.25680136
1979,6.50120912,12.32586564,32.76042424,29.34562504,41.15657377,96.27239055,2.233976419,-16.22153426,-48.94835252,-109.6361625
1980,8.446521176,14.03388396,37.22279116,34.04533189,46.85121098,110.1353674,3.053467855,-18.29557497,-55.20821232,-123.9169899
1981,10.43275955,15.74419788,41.7279423,38.97495252,52.6629095,124.3152015,3.357257194,-20.37991544,-61.245503,-137.7788797
1982,11.72149297,17.47502389,46.27587766,44.14970587,58.57994969,138.6950535,-1.902416697,-22.47486874,-67.2438357,-152.2102611
1983,12.98084983,19.23337381,50.86659724,49.53870535,64.58775347,153.5160459,-14.59158114,-24.58173886,-72.96826246,-165.6129213
1984,13.41967171,21.04889058,55.50010103,55.14852168,70.67366663,168.742281,-19.81875497,-26.70052579,-78.73251693,-179.340727
1985,13.5812994,22.89575407,60.17638903,60.99467797,76.84115795,184.3513456,-20.79916197,-28.83122955,-84.49878682,-193.2031513
1986,13.7770742,24.80350898,64.89546126,67.11515901,83.0908978,200.3261511,-21.80500266,-30.97385012,-90.18404312,-207.1068828
1987,14.14785294,26.76497561,69.65731769,73.48182738,89.4052989,216.753245,-21.5561471,-33.12838751,-96.03156667,-221.5285135
1988,15.24325345,28.78781047,74.46195835,80.13896285,95.80123067,233.830526,-20.43803402,-35.29484172,-101.7792047,-236.0283785
1989,17.33419289,30.85178649,79.30938322,87.07602235,102.2843598,251.3294319,-18.72321728,-37.47321275,-107.4937167,-250.3207356
1990,19.24108945,32.95972785,84.19959231,94.25348226,108.8159219,269.1287324,-17.07793052,-39.6635006,-113.2005838,-264.9070414
1991,21.12036702,35.05030717,89.15340101,101.6210826,115.4322645,287.2605466,-26.8967031,-41.86127583,-119.1746961,-280.756946
1992,22.66545485,37.12586757,94.17080931,109.147216,122.0964148,305.5695501,-56.23140822,-44.064429,-124.5379567,-294.5806273
1993,23.42415481,39.20148059,99.25181723,116.7681834,128.772932,324.0605352,-69.57364637,-46.27296012,-129.8339906,-308.5562717
1994,23.70680387,41.30551851,104.3964248,124.4811576,135.4842591,342.9296215,-71.54460386,-48.48686918,-135.2239455,-323.3510613
1995,23.89906353,43.44639848,109.6046319,132.2834587,142.2266382,362.258089,-70.7256349,-50.70615618,-140.1731499,-337.276075
1996,23.8949773,45.60486116,114.8764386,140.182357,148.9818298,382.0263201,-68.89552522,-52.93082112,-144.9759853,-350.7403364
1997,24.15502901,47.78328103,120.211845,148.1638349,155.7579495,402.0683466,-66.73435894,-55.160864,-150.3831722,-366.1237149
1998,25.1698323,49.93233966,125.6108509,156.2235335,162.5984857,422.7647936,-64.5465016,-57.39628483,-155.5054658,-381.2009213
1999,26.7400283,52.09276201,131.0734565,164.3707203,169.4867407,443.9786819,-62.30252603,-59.63708359,-160.0550431,-394.2682347
2000,28.71421475,54.2672847,136.5996617,172.6041298,176.3823916,465.4844907,-60.04813987,-61.8832603,-164.5689364,-406.6983342
2001,30.5184189,56.44400808,142.1916239,180.9075395,183.2682198,487.3767519,-57.87841679,-64.13481495,-169.0355608,-419.1655041
2002,32.40773973,58.64806095,147.8493431,189.2724493,190.1591871,509.7586015,-55.59951276,-66.39174754,-173.8014805,-432.8117288
2003,33.30930518,60.88359655,153.5728194,197.6980996,197.0757171,532.7582191,-53.58383283,-68.65405808,-178.8233912,-446.9023696
2004,33.77976335,63.21334409,159.3620526,206.1844463,203.9878815,556.1964198,-51.39248431,-70.92174655,-183.7926873,-461.0671759
2005,33.82438697,65.6013276,165.2170429,214.7356273,210.8872081,580.1215906,-49.64736646,-73.19481297,-188.9450906,-475.7018923
2006,33.77234413,68.01980129,171.1377902,223.3571312,217.7873009,604.5575762,-48.14535537,-75.47325733,-194.3882925,-490.6643066
2007,33.53500301,70.48848701,177.1242946,232.048154,224.7298923,629.4046207,-46.86235698,-77.75707963,-199.4546919,-505.3283651
2008,33.25773989,72.98288916,183.1950261,240.8181775,231.7117677,654.7484195,-45.31316792,-80.04627987,-204.2980107,-519.3343662
2009,32.97947245,75.45272335,189.3499849,249.6515965,238.7236531,680.4455468,-44.20015435,-82.34085806,-208.6711982,-532.6195188
2010,33.05774101,77.98528404,195.589171,258.5601263,245.7671555,706.6774636,-42.5623146,-84.64081418,-212.7474814,-546.200476
2011,33.68914255,80.5434854,201.9418224,267.5500244,252.8432426,733.3481545,-41.54642505,-86.94614825,-216.9263032,-559.3706986
2012,34.55179033,83.11904083,208.4079391,276.6092603,259.9497066,760.4859561,-39.95770298,-89.25686026,-221.1435627,-572.9528317
2013,35.54751142,85.70406263,214.9875212,285.7448997,267.0885727,788.2571923,-37.9985656,-91.57295022,-224.9896729,-585.4992801
2014,36.70241829,88.30715179,221.6805686,294.9653065,274.2826672,816.469809,-36.33471166,-93.89441811,-228.7564072,-598.2275392
2015,37.37600156,90.9387612,228.3113845,304.2597581,281.5436718,845.2088194,-35.13386134,-96.22126395,-232.1021921,-610.156136
2016,37.45756094,93.59811084,234.8799687,313.624077,288.8536826,874.7280807,-33.65072639,-98.55348772,-235.3077557,-621.7389204
2017,37.38011827,96.30861051,241.3863214,323.0666779,296.2058806,904.7332783,-31.79059202,-100.8910894,-238.3874611,-633.0543139
2018,37.23828243,99.0255691,248.0117725,332.5993866,303.6088673,935.2759306,-30.10261229,-103.2340691,-241.5245007,-644.3556745
2019,37.08509494,101.737664,254.7563219,342.2007877,311.0627422,966.368979,-28.41463256,-105.5824267,-244.6618948,-655.5413261
